year,month,Ri
2011,9,13.6318464
2011,10,7.8534144
2011,11,8.886527999
2011,12,4.500172799
2012,1,3.221913601
2012,2,2.906726401
2012,3,4.0186368
2012,4,5.9622912
2012,5,12.2923008
2012,6,11.6619264
2012,7,20.5484544
2012,8,16.5210624
2012,9,12.1171968
2012,10,9.455616
2012,11,5.2268544
2012,12,4.333824
